ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01522,49340,1.000000000,1.000000000,1.000000000,1.000000000
01523,49340,1.000000000,1.000000000,1.000000000,1.000000000
01524,49340,1.000000000,1.000000000,1.000000000,1.000000000
01525,49340,0.000000000,0.000000000,1.000000000,1.000000000
01526,49340,0.000000000,0.000000000,1.000000000,1.000000000
01527,49340,1.000000000,1.000000000,1.000000000,1.000000000
01529,49340,1.000000000,1.000000000,1.000000000,1.000000000
01531,49340,1.000000000,1.000000000,1.000000000,1.000000000
01532,15764,0.002633617,0.001085776,0.000000000,0.002378436
01532,49340,0.997366383,0.998914224,1.000000000,0.997621564
01534,49340,1.000000000,1.000000000,1.000000000,1.000000000
01535,49340,1.000000000,1.000000000,1.000000000,1.000000000
01536,49340,1.000000000,1.000000000,1.000000000,1.000000000
01537,49340,1.000000000,1.000000000,1.000000000,1.000000000
01538,49340,0.000000000,0.000000000,1.000000000,1.000000000
01540,49340,1.000000000,1.000000000,1.000000000,1.000000000
01541,49340,1.000000000,1.000000000,1.000000000,1.000000000
01542,49340,1.000000000,1.000000000,1.000000000,1.000000000
01543,49340,1.000000000,1.000000000,1.000000000,1.000000000
01545,49340,1.000000000,1.000000000,1.000000000,1.000000000
01546,49340,0.000000000,1.000000000,1.000000000,1.000000000
01550,49340,1.000000000,1.000000000,1.000000000,1.000000000
01560,49340,1.000000000,1.000000000,1.000000000,1.000000000
01561,49340,0.000000000,0.000000000,1.000000000,1.000000000
01562,49340,1.000000000,1.000000000,1.000000000,1.000000000
01564,49340,1.000000000,1.000000000,1.000000000,1.000000000
01566,49340,1.000000000,1.000000000,1.000000000,1.000000000
01568,49340,1.000000000,1.000000000,1.000000000,1.000000000
01569,49340,1.000000000,1.000000000,1.000000000,1.000000000
01570,49340,1.000000000,1.000000000,1.000000000,1.000000000
01571,49340,1.000000000,1.000000000,1.000000000,1.000000000
01581,49340,1.000000000,1.000000000,1.000000000,1.000000000
01583,49340,1.000000000,1.000000000,1.000000000,1.000000000
01585,49340,1.000000000,1.000000000,1.000000000,1.000000000
01586,49340,1.000000000,1.000000000,1.000000000,1.000000000
01588,49340,1.000000000,1.000000000,1.000000000,1.000000000
01590,49340,1.000000000,1.000000000,1.000000000,1.000000000
01601,49340,1.000000000,1.000000000,1.000000000,1.000000000
01602,49340,1.000000000,1.000000000,1.000000000,1.000000000
01603,49340,1.000000000,1.000000000,1.000000000,1.000000000
01604,49340,1.000000000,1.000000000,1.000000000,1.000000000
01605,49340,1.000000000,1.000000000,1.000000000,1.000000000
01606,49340,1.000000000,1.000000000,1.000000000,1.000000000
01607,49340,1.000000000,1.000000000,1.000000000,1.000000000
01608,49340,1.000000000,1.000000000,1.000000000,1.000000000
01609,49340,1.000000000,1.000000000,1.000000000,1.000000000
01610,49340,1.000000000,1.000000000,1.000000000,1.000000000
01611,49340,1.000000000,1.000000000,1.000000000,1.000000000
01612,49340,1.000000000,1.000000000,1.000000000,1.000000000
01613,49340,1.000000000,1.000000000,1.000000000,1.000000000
01614,49340,0.000000000,0.000000000,1.000000000,1.000000000
01653,49340,0.000000000,1.000000000,0.000000000,1.000000000
01655,49340,0.000000000,1.000000000,1.000000000,1.000000000
01701,15764,1.000000000,1.000000000,1.000000000,1.000000000
01702,15764,1.000000000,1.000000000,1.000000000,1.000000000
01703,15764,1.000000000,1.000000000,1.000000000,1.000000000
01704,15764,1.000000000,1.000000000,1.000000000,1.000000000
01718,15764,1.000000000,1.000000000,1.000000000,1.000000000
01719,15764,1.000000000,1.000000000,1.000000000,1.000000000
01720,15764,1.000000000,1.000000000,1.000000000,1.000000000
01721,15764,1.000000000,1.000000000,1.000000000,1.000000000
01730,15764,1.000000000,1.000000000,1.000000000,1.000000000
01731,15764,1.000000000,1.000000000,1.000000000,1.000000000
01740,49340,1.000000000,1.000000000,1.000000000,1.000000000
01741,15764,1.000000000,1.000000000,1.000000000,1.000000000
01742,15764,1.000000000,1.000000000,1.000000000,1.000000000
01745,49340,1.000000000,1.000000000,1.000000000,1.000000000
01746,15764,1.000000000,1.000000000,1.000000000,1.000000000
01747,49340,1.000000000,1.000000000,1.000000000,1.000000000
01748,15764,1.000000000,1.000000000,1.000000000,1.000000000
01749,15764,0.998629041,0.998924731,1.000000000,0.998701039
01749,49340,0.001370959,0.001075269,0.000000000,0.001298961
01752,15764,1.000000000,1.000000000,1.000000000,1.000000000
01754,15764,1.000000000,1.000000000,1.000000000,1.000000000
01756,49340,1.000000000,1.000000000,1.000000000,1.000000000
01757,49340,1.000000000,1.000000000,1.000000000,1.000000000
